,year,state,congressional_district,party,candidatevotes,totalvotes
0,1976,ALABAMA,1,REPUBLICAN,98257.0,157170.0
1,1976,ALABAMA,2,REPUBLICAN,90069.0,156362.0
2,1976,ALABAMA,3,DEMOCRAT,106935.0,108048.0
3,1976,ALABAMA,4,DEMOCRAT,141490.0,176022.0
4,1976,ALABAMA,5,DEMOCRAT,113553.0,113560.0
5,1976,ALABAMA,6,REPUBLICAN,92113.0,162518.0
6,1976,ALABAMA,7,DEMOCRAT,110496.0,110501.0
7,1976,ALASKA,0,REPUBLICAN,83722.0,118208.0
8,1976,ARIZONA,1,REPUBLICAN,96397.0,168119.0
9,1976,ARIZONA,2,DEMOCRAT,106054.0,182128.0
10,1976,ARIZONA,3,DEMOCRAT,88854.0,187165.0
11,1976,ARIZONA,4,REPUBLICAN,93154.0,191590.0
12,1976,ARKANSAS,1,DEMOCRAT,116217.0,168782.0
13,1976,ARKANSAS,2,DEMOCRAT,144780.0,167607.0
14,1976,ARKANSAS,3,REPUBLICAN,,
15,1976,ARKANSAS,4,DEMOCRAT,,
16,1976,CALIFORNIA,1,DEMOCRAT,160477.0,217016.0
17,1976,CALIFORNIA,2,REPUBLICAN,121290.0,216563.0
18,1976,CALIFORNIA,3,DEMOCRAT,139779.0,191854.0
19,1976,CALIFORNIA,4,DEMOCRAT,75844.0,151037.0
20,1976,CALIFORNIA,5,DEMOCRAT,103746.0,167754.0
21,1976,CALIFORNIA,6,DEMOCRAT,86493.0,130916.0
22,1976,CALIFORNIA,7,DEMOCRAT,147064.0,196816.0
23,1976,CALIFORNIA,8,DEMOCRAT,122342.0,196954.0
24,1976,CALIFORNIA,9,DEMOCRAT,116398.0,164391.0
25,1976,CALIFORNIA,10,DEMOCRAT,111992.0,155443.0
26,1976,CALIFORNIA,11,DEMOCRAT,107618.0,176194.0
27,1976,CALIFORNIA,12,REPUBLICAN,130332.0,196857.0
28,1976,CALIFORNIA,13,DEMOCRAT,135291.0,202611.0
29,1976,CALIFORNIA,14,DEMOCRAT,123285.0,169959.0
30,1976,CALIFORNIA,15,DEMOCRAT,92735.0,128435.0
31,1976,CALIFORNIA,16,DEMOCRAT,104545.0,195705.0
32,1976,CALIFORNIA,17,DEMOCRAT,103898.0,158168.0
33,1976,CALIFORNIA,18,REPUBLICAN,101658.0,158341.0
34,1976,CALIFORNIA,19,REPUBLICAN,124201.0,192923.0
35,1976,CALIFORNIA,20,REPUBLICAN,146158.0,217351.0
36,1976,CALIFORNIA,21,DEMOCRAT,101837.0,153109.0
37,1976,CALIFORNIA,22,REPUBLICAN,114769.0,183312.0
38,1976,CALIFORNIA,23,DEMOCRAT,130619.0,217053.0
39,1976,CALIFORNIA,24,DEMOCRAT,108296.0,159774.0
40,1976,CALIFORNIA,25,DEMOCRAT,57966.0,80625.0
41,1976,CALIFORNIA,26,REPUBLICAN,112619.0,171712.0
42,1976,CALIFORNIA,27,REPUBLICAN,114623.0,209611.0
43,1976,CALIFORNIA,28,DEMOCRAT,114612.0,142915.0
44,1976,CALIFORNIA,29,DEMOCRAT,82515.0,96602.0
45,1976,CALIFORNIA,30,DEMOCRAT,82767.0,111270.0
46,1976,CALIFORNIA,31,DEMOCRAT,83155.0,83155.0
47,1976,CALIFORNIA,32,DEMOCRAT,92034.0,127428.0
48,1976,CALIFORNIA,33,REPUBLICAN,95398.0,173205.0
49,1976,CALIFORNIA,34,DEMOCRAT,100988.0,199135.0
50,1976,CALIFORNIA,35,DEMOCRAT,87472.0,164237.0
51,1976,CALIFORNIA,36,DEMOCRAT,90830.0,147556.0
52,1976,CALIFORNIA,37,REPUBLICAN,133634.0,188007.0
53,1976,CALIFORNIA,38,DEMOCRAT,103317.0,162409.0
54,1976,CALIFORNIA,39,REPUBLICAN,122657.0,209402.0
55,1976,CALIFORNIA,40,REPUBLICAN,148512.0,250644.0
56,1976,CALIFORNIA,41,REPUBLICAN,128784.0,223374.0
57,1976,CALIFORNIA,42,DEMOCRAT,103062.0,135627.0
58,1976,CALIFORNIA,43,REPUBLICAN,173576.0,267051.0
59,1976,COLORADO,1,DEMOCRAT,103037.0,193610.0
60,1976,COLORADO,2,DEMOCRAT,121340.0,240278.0
61,1976,COLORADO,3,DEMOCRAT,89302.0,175232.0
62,1976,COLORADO,4,REPUBLICAN,119458.0,221018.0
63,1976,COLORADO,5,REPUBLICAN,126784.0,190851.0
64,1976,CONNECTICUT,1,DEMOCRAT,128479.0,225076.0
65,1976,CONNECTICUT,2,DEMOCRAT,142684.0,219308.0
66,1976,CONNECTICUT,3,DEMOCRAT,121623.0,222643.0
67,1976,CONNECTICUT,4,REPUBLICAN,126314.0,207058.0
68,1976,CONNECTICUT,5,REPUBLICAN,157009.0,236087.0
69,1976,CONNECTICUT,6,DEMOCRAT,134914.0,238300.0
70,1976,DELAWARE,0,REPUBLICAN,110636.0,215085.0
71,1976,FLORIDA,1,DEMOCRAT,,
72,1976,FLORIDA,2,DEMOCRAT,,
73,1976,FLORIDA,3,DEMOCRAT,,
74,1976,FLORIDA,4,DEMOCRAT,,
75,1976,FLORIDA,5,REPUBLICAN,138371.0,234631.0
76,1976,FLORIDA,6,REPUBLICAN,151371.0,232218.0
77,1976,FLORIDA,7,DEMOCRAT,102739.0,156338.0
78,1976,FLORIDA,8,DEMOCRAT,103360.0,178154.0
79,1976,FLORIDA,9,REPUBLICAN,130509.0,167139.0
80,1976,FLORIDA,10,REPUBLICAN,164273.0,247686.0
81,1976,FLORIDA,11,DEMOCRAT,199031.0,218437.0
82,1976,FLORIDA,12,REPUBLICAN,107268.0,199076.0
83,1976,FLORIDA,13,DEMOCRAT,127822.0,163179.0
84,1976,FLORIDA,14,DEMOCRAT,82665.0,113439.0
85,1976,FLORIDA,15,DEMOCRAT,121292.0,172233.0
86,1976,GEORGIA,1,DEMOCRAT,73826.0,73888.0
87,1976,GEORGIA,2,DEMOCRAT,95807.0,96026.0
88,1976,GEORGIA,3,DEMOCRAT,93174.0,105004.0
89,1976,GEORGIA,4,DEMOCRAT,110261.0,161412.0
90,1976,GEORGIA,5,DEMOCRAT,96056.0,144063.0
91,1976,GEORGIA,6,DEMOCRAT,77532.0,149944.0
92,1976,GEORGIA,7,DEMOCRAT,84587.0,153554.0
93,1976,GEORGIA,8,DEMOCRAT,90559.0,130186.0
94,1976,GEORGIA,9,DEMOCRAT,113245.0,143357.0
95,1976,GEORGIA,10,DEMOCRAT,94782.0,94864.0
96,1976,HAWAII,1,DEMOCRAT,60050.0,137602.0
97,1976,HAWAII,2,DEMOCRAT,124116.0,156099.0
98,1976,IDAHO,1,REPUBLICAN,95833.0,175495.0
99,1976,IDAHO,2,REPUBLICAN,84175.0,166412.0
100,1976,ILLINOIS,1,DEMOCRAT,126632.0,137193.0
101,1976,ILLINOIS,2,DEMOCRAT,127297.0,150335.0
102,1976,ILLINOIS,3,DEMOCRAT,115591.0,196365.0
103,1976,ILLINOIS,4,REPUBLICAN,124847.0,189772.0
104,1976,ILLINOIS,5,DEMOCRAT,119336.0,155092.0
105,1976,ILLINOIS,6,REPUBLICAN,106667.0,176027.0
106,1976,ILLINOIS,7,DEMOCRAT,88239.0,104094.0
107,1976,ILLINOIS,8,DEMOCRAT,105595.0,131107.0
108,1976,ILLINOIS,9,DEMOCRAT,121915.0,168983.0
109,1976,ILLINOIS,10,DEMOCRAT,106804.0,213414.0
110,1976,ILLINOIS,11,DEMOCRAT,135755.0,201440.0
