,year,state,congressional_district,party,candidatevotes,totalvotes
0,1976,ALABAMA,1,REPUBLICAN,98257,157170
1,1976,ALABAMA,2,REPUBLICAN,90069,156362
2,1976,ALABAMA,3,DEMOCRAT,106935,108048
3,1976,ALABAMA,4,DEMOCRAT,141490,176022
4,1976,ALABAMA,5,DEMOCRAT,113553,113560
5,1976,ALABAMA,6,REPUBLICAN,92113,162518
6,1976,ALABAMA,7,DEMOCRAT,110496,110501
7,1976,ALASKA,0,REPUBLICAN,83722,118208
8,1976,ARIZONA,1,REPUBLICAN,96397,168119
9,1976,ARIZONA,2,DEMOCRAT,106054,182128
10,1976,ARIZONA,3,DEMOCRAT,88854,187165
11,1976,ARIZONA,4,REPUBLICAN,93154,191590
12,1976,ARKANSAS,1,DEMOCRAT,116217,168782
13,1976,ARKANSAS,2,DEMOCRAT,144780,167607
14,1976,ARKANSAS,3,REPUBLICAN,1,1
15,1976,ARKANSAS,4,DEMOCRAT,1,1
16,1976,CALIFORNIA,1,DEMOCRAT,160477,217016
17,1976,CALIFORNIA,2,REPUBLICAN,121290,216563
18,1976,CALIFORNIA,3,DEMOCRAT,139779,191854
19,1976,CALIFORNIA,4,DEMOCRAT,75844,151037
20,1976,CALIFORNIA,5,DEMOCRAT,103746,167754
21,1976,CALIFORNIA,6,DEMOCRAT,86493,130916
22,1976,CALIFORNIA,7,DEMOCRAT,147064,196816
23,1976,CALIFORNIA,8,DEMOCRAT,122342,196954
24,1976,CALIFORNIA,9,DEMOCRAT,116398,164391
25,1976,CALIFORNIA,10,DEMOCRAT,111992,155443
26,1976,CALIFORNIA,11,DEMOCRAT,107618,176194
27,1976,CALIFORNIA,12,REPUBLICAN,130332,196857
28,1976,CALIFORNIA,13,DEMOCRAT,135291,202611
29,1976,CALIFORNIA,14,DEMOCRAT,123285,169959
30,1976,CALIFORNIA,15,DEMOCRAT,92735,128435
31,1976,CALIFORNIA,16,DEMOCRAT,104545,195705
32,1976,CALIFORNIA,17,DEMOCRAT,103898,158168
33,1976,CALIFORNIA,18,REPUBLICAN,101658,158341
34,1976,CALIFORNIA,19,REPUBLICAN,124201,192923
35,1976,CALIFORNIA,20,REPUBLICAN,146158,217351
36,1976,CALIFORNIA,21,DEMOCRAT,101837,153109
37,1976,CALIFORNIA,22,REPUBLICAN,114769,183312
38,1976,CALIFORNIA,23,DEMOCRAT,130619,217053
39,1976,CALIFORNIA,24,DEMOCRAT,108296,159774
